*T 4/4
*K C Major
*T 3/4
*M irregular 
*P 2000.0
Note	0.0	1000.0	55.0
Note	1000.0	1500.0	57.0
Note	1500.0	2000.0	59.0
Note	2000.0	3000.0	60
Note	3000.0	3500.0	60
Note	3500.0	4000.0	60
Note	4000.0	5000.0	62
Note	5000.0	5500.0	62
Note	5500.0	6000.0	62
Note	6000.0	7000.0	64
Note	7000.0	8000.0	60
Note	8000.0	9000.0	64
Note	9000.0	9500.0	62
Note	9500.0	10000.0	62
Note	10000.0	11000.0	60
Note	11000.0	11500.0	59.0
Note	11500.0	12000.0	59.0
Note	12000.0	13000.0	57.0
Note	13000.0	13500.0	57.0
Note	13500.0	14000.0	57.0
Note	14000.0	16000.0	55.0
Note	16000.0	17000.0	60
Note	17000.0	17500.0	60
Note	17500.0	18000.0	55.0
Note	18000.0	19000.0	57.0
Note	19000.0	19500.0	55.0
Note	19500.0	20000.0	55.0
Note	20000.0	21000.0	60
Note	21000.0	21500.0	62
Note	21500.0	22000.0	60
Note	22000.0	23000.0	64
Note	23000.0	24000.0	62
Note	24000.0	25000.0	60
Note	25000.0	25500.0	62
Note	25500.0	26000.0	64
Note	26000.0	27000.0	62
Note	27000.0	27500.0	60
Note	27500.0	28000.0	59.0
Note	28000.0	28500.0	62
Note	28500.0	29000.0	60
Note	29000.0	29500.0	59.0
Note	29500.0	30000.0	57.0
Note	30000.0	31000.0	55.0
Note	32000.0	32500.0	59.0
Note	32500.0	33000.0	60
Note	33000.0	34000.0	62
Note	34000.0	35000.0	62
Note	35000.0	36000.0	62
Note	36000.0	37000.0	59.0
Note	37000.0	38000.0	55.0
Note	38000.0	38500.0	55.0
Note	38500.0	39000.0	57.0
Note	39000.0	40000.0	59.0
Note	40000.0	41000.0	59.0
Note	41000.0	42000.0	59.0
Note	42000.0	43000.0	55.0
Note	43000.0	44000.0	52.0
Note	44000.0	45000.0	55.0
Note	45000.0	46500.0	60
Note	46500.0	47000.0	60
Note	47000.0	48000.0	64
Note	48000.0	49000.0	62
Note	50000.0	51000.0	55.0
Note	51000.0	52000.0	57.0
Note	52000.0	53000.0	57.0
Note	53000.0	54000.0	57.0
Note	54000.0	55000.0	59.0
Note	55000.0	56000.0	59.0
Note	56000.0	57000.0	59.0
Note	57000.0	58000.0	60
Note	58000.0	59000.0	60
Note	59000.0	60000.0	60
Note	60000.0	61000.0	62
Note	61000.0	62000.0	62
Note	62000.0	63000.0	55.0
Note	63000.0	64000.0	64
Note	64000.0	65000.0	62
Note	65000.0	66000.0	64
Note	66000.0	67000.0	65
Note	67000.0	68000.0	64
Note	68000.0	69000.0	62
Note	69000.0	70500.0	60
Note	70500.0	71000.0	64
Note	71000.0	72000.0	59.0
Note	72000.0	74000.0	60
