*T 3/4
*K E-flat Major
*M simple triple
*P 1000.0
Note	0.0	1000.0	70
Note	1000.0	3000.0	70
Note	3000.0	4000.0	75
Note	4000.0	6000.0	70
Note	6000.0	7000.0	67
Note	7000.0	8000.0	68
Note	8000.0	9000.0	65
Note	9000.0	10000.0	70
Note	10000.0	11000.0	67
Note	11000.0	12000.0	63
Note	12000.0	13000.0	58.0
Note	13000.0	13500.0	63
Note	13500.0	14000.0	63
Note	14000.0	14500.0	63
Note	14500.0	15000.0	63
Note	15000.0	15500.0	63
Note	15500.0	16000.0	63
Note	16000.0	18000.0	63
Note	18000.0	19000.0	70
Note	19000.0	21000.0	70
Note	21000.0	22000.0	75
Note	22000.0	24000.0	70
Note	24000.0	25000.0	67
Note	25000.0	26000.0	68
Note	26000.0	27000.0	65
Note	27000.0	28000.0	70
Note	28000.0	29000.0	67
Note	29000.0	30000.0	63
Note	30000.0	31000.0	65
Note	31000.0	31500.0	67
Note	31500.0	32000.0	67
Note	32000.0	32500.0	67
Note	32500.0	33000.0	67
Note	33000.0	33500.0	67
Note	33500.0	34000.0	67
Note	34000.0	36000.0	67
Note	36000.0	37000.0	70
Note	37000.0	38000.0	75
Note	38000.0	39000.0	74
Note	39000.0	40000.0	72
Note	40000.0	41000.0	70
Note	41000.0	42000.0	68
Note	42000.0	43000.0	67
Note	43000.0	44000.0	68
Note	44000.0	45000.0	70
Note	45000.0	46000.0	72
Note	46000.0	48000.0	70
Note	48000.0	49000.0	70
Note	49000.0	50000.0	75
Note	50000.0	51000.0	74
Note	51000.0	52000.0	72
Note	52000.0	53000.0	70
Note	53000.0	54000.0	68
Note	54000.0	55000.0	67
Note	55000.0	56000.0	68
Note	56000.0	57000.0	65
Note	57000.0	58000.0	70
Note	58000.0	60000.0	63
Note	60000.0	61000.0	58.0
Note	61000.0	61500.0	63
Note	61500.0	62000.0	63
Note	62000.0	62500.0	63
Note	62500.0	63000.0	63
Note	63000.0	63500.0	63
Note	63500.0	64000.0	63
Note	64000.0	66000.0	63
Note	66000.0	67000.0	65
Note	67000.0	67500.0	67
Note	67500.0	68000.0	67
Note	68000.0	68500.0	67
Note	68500.0	69000.0	67
Note	69000.0	69500.0	67
Note	69500.0	70000.0	67
Note	70000.0	72000.0	67
Note	72000.0	73000.0	70
Note	73000.0	73500.0	75
Note	73500.0	74000.0	75
Note	74000.0	74500.0	75
Note	74500.0	75000.0	75
Note	75000.0	75500.0	75
Note	75500.0	76000.0	75
Note	76000.0	78000.0	75
